,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
48,AUDI,A3,Admired,hatchback,TDI,manual,5 portes,FWD,,,,,,35
49,AUDI,A3,ADVANCED,saloon,TDI,manual,4 dr,FWD,2.0,,,,,35
50,AUDI,A3,Business,saloon,TFSI,manual,4 dr,FWD,,,,,,35
51,AUDI,A3,Business,saloon,TFSI,automatic,4 dr,FWD,,,,,,35
52,AUDI,A3,DESIGN,SPORTBACK,TFSI,manual,5 portes,FWD,2.0,,,,,40
53,AUDI,A3,DESIGN,saloon,TDI,manual,4 dr,AWD,2.0,,,,,40
54,AUDI,A3,EDITION 1,saloon,TDI,manual,4 dr,FWD,2.0,,,,,35
55,AUDI,A3,EDITION ONE,hatchback,TFSI,manual,5 portes,FWD,1.0,,,,,30
56,AUDI,A3,EDITION ONE,saloon,TFSI,manual,4 dr,FWD,1.5,,,,,35
57,AUDI,A3,S line Edition,S.Back,TFSI,automatic,5 portes,FWD,,PHEV,,,,45
58,AUDI,A3,S LINE,SPORTBACK,TDI,manual,5 portes,FWD,2.0,,,,,35
59,AUDI,A3,S LINE,saloon,TDI,manual,4 dr,FWD,2.0,,,,,30
60,AUDI,A3,S LINE,saloon,TDI,manual,4 dr,FWD,2.0,,,,,35
61,AUDI,A3,S line,Limousine,TFSI,automatic,4 dr,FWD,,MHEV,,,,35
62,AUDI,A3,SE TECHNIK,hatchback,TDI,manual,5 portes,FWD,1.6,,,,,30
63,AUDI,A3,SPORT,cabriolet,TFSI,manual,2 door,FWD,1.5,,,,,35
64,AUDI,A3,Sport,cabriolet,TFSI,manual,2 door,FWD,,,,,,35
65,AUDI,A3,SPORT,saloon,TDI,manual,4 dr,FWD,2.0,,,,,30
66,AUDI,A3 Sportback,S LINE PLUS,hatchback,TFSI,manual,5 portes,FWD,,,,,,30
67,AUDI,A4,,saloon,TDI,automatic,4 dr,FWD,2.0,MHEV,,,,35
68,AUDI,A4,,saloon,TDI,manual,4 dr,AWD,3.0,,,,,45
69,AUDI,A4,,saloon,TDI,manual,4 dr,FWD,,,,,,35
70,AUDI,A4,advanced,Avant,TFSI,manual,5 portes,FWD,,MHEV,,,,35
71,AUDI,A4,ADVANCED,saloon,TDI,manual,4 dr,FWD,2.0,,,,,30
72,AUDI,A4,ADVANCED,saloon,TDI,manual,4 dr,FWD,2.0,,,,,35
73,AUDI,A4 Allroad Quattro,Sport,estate,TFSI,manual,5 portes,AWD,2.0,MHEV,,,,
74,AUDI,A4,BLACK EDITION,saloon,TDI,automatic,4 dr,FWD,2.0,MHEV,,,,35
75,AUDI,A4,BUSIN ADV,saloon,TFSI,automatic,4 dr,AWD,2.0,MHEV,,,,45
76,AUDI,A4,BUSIN SPORT,saloon,TFSI,manual,4 dr,FWD,2.0,,,,,35
77,AUDI,A4,BUSINESS,saloon,TDI,manual,4 dr,FWD,2.0,,,,90KW,30
78,AUDI,A4,BUSINESS,saloon,TFSI,manual,4 dr,FWD,2.0,MHEV,,,,35
79,AUDI,A4,DESIGN,estate,TFSI,automatic,5 portes,FWD,2.0,MHEV,,,,35
80,AUDI,A4,DESIGN,estate,TFSI,manual,5 portes,FWD,2.0,MHEV,,,,40
81,AUDI,A4,S LINE,AVANT,TDI,manual,5 portes,FWD,2.0,,,,90KW,30
82,AUDI,A4,S LINE,estate,TDI,automatic,5 portes,FWD,2.0,MHEV,,,,35
83,AUDI,A4,S LINE,estate,TFSI,manual,5 portes,FWD,2.0,,,,,40
84,AUDI,A4,S LINE,saloon,TDI,automatic,4 dr,AWD,3.0,,,286,,50
85,AUDI,A4,S line,saloon,TDI,automatic,4 dr,FWD,,MHEV,,,,30
86,AUDI,A4,S line,saloon,TFSI,automatic,4 dr,FWD,,MHEV,,,,40
87,AUDI,A4,S line,saloon,TFSI,manual,4 dr,AWD,,MHEV,,,,45
88,AUDI,A4,SPORT,AVANT,TDI,manual,5 portes,FWD,2.0,MHEV,,,,30
89,AUDI,A4,Sport,estate,TDI,manual,5 portes,FWD,2.0,,,190PS,,
90,AUDI,A4,Sport,saloon,TDI,manual,4 dr,FWD,2.0,,,,90kW,
91,AUDI,A4,VORSPRUNG,saloon,TDI,automatic,4 dr,FWD,2.0,MHEV,,,,30
92,AUDI,A5,,Cabriolet,TFSI,automatic,2 door,AWD,,MHEV,,,,40
93,AUDI,A5,,coupe,TDI,automatic,2 door,AWD,,MHEV,,,,50
94,AUDI,A5,,coupe,TFSI,automatic,2 door,FWD,2.0,MHEV,,,,40
95,AUDI,A5,,Sportback,TDI,automatic,5 portes,FWD,,,,,,40
96,AUDI,A5,,SPORTBACK,TFSI,manual,5 portes,FWD,2.0,,,,,35
97,AUDI,A5,Advanced,Sportback,TFSI,automatic,5 portes,FWD,,MHEV,,,150kW,40
98,AUDI,A5,BLACK ED,coupe,TDI,manual,2 door,AWD,2.0,,,190PS,,40
99,AUDI,A5,BLACK EDITION,coupe,TFSI,automatic,2 door,FWD,2.0,MHEV,,,,40
100,AUDI,A5,BUSINESS SPORT,cabriolet,TFSI,manual,2 door,FWD,2.0,,,,140KW,
101,AUDI,A5,BUSINESS SPORT,coupe,TFSI,manual,2 door,FWD,2.0,,,,,40
102,AUDI,A5,BUSINESS,cabriolet,TFSI,automatic,2 door,AWD,2.0,MHEV,,,,40
103,AUDI,A5,BUSIN,cabriolet,TDI,manual,2 door,AWD,2.0,,,,,40
104,AUDI,A5,DESIGN LUXE,cabriolet,TDI,manual,2 door,AWD,,,,190,,40
105,AUDI,A5,Business,coupe,TFSI,automatic,2 door,AWD,,MHEV,,,,45
106,AUDI,A5,,coupe,TFSI,automatic,2 door,FWD,,MHEV,,,,40
107,AUDI,A5,DESIGN,CABRIOLET,TFSI,manual,2 door,FWD,2.0,,,,,40
108,AUDI,A5,DESIGN,cabriolet,TFSI,manual,2 door,FWD,2.0,,,,140KW,
109,AUDI,A5,DESIGN,coupe,TFSI,manual,2 door,FWD,2.0,,,,,40
110,AUDI,A5,DESIGN,coupe,unleaded,manual,2 door,FWD,,,,,140KW,
111,AUDI,A5,Design,coupe,TFSI,manual,2 door,FWD,,,,,,40
112,AUDI,A5,EDITION ONE,coupe,TFSI,manual,2 door,FWD,2.0,MHEV,,,,40
113,AUDI,A5,Quattro Ed,cabriolet,unleaded,manual,2 door,AWD,,,,,185KW,
114,AUDI,A5,Quattro Edition,coupe,TFSI,manual,2 door,AWD,,,,,,45
115,AUDI,A5,S line Edition,cabriolet,TFSI,manual,2 door,FWD,,,,190PS,,40
116,AUDI,A5,S LINE EDIT,coupe,TDI,manual,2 door,FWD,2.0,,,,,40
117,AUDI,A5,S LINE EDIT,hatchback,TDI,manual,5 portes,AWD,2.0,,,,,40
118,AUDI,A5,S LINE EDIT,hatchback,TDI,manual,5 portes,FWD,2.0,,,,,40
119,AUDI,A5,S line,Cabriolet,TDI,manual,2 door,FWD,,MHEV,,,,35
120,AUDI,A5,S LINE,CABRIO,TFSI,manual,2 door,AWD,2.0,MHEV,,,,45
121,AUDI,A5,S Line,Sportback,TDI,automatic,5 portes,AWD,,MHEV,,,,40
122,AUDI,A5,S5,coupe,TDI,automatic,2 door,AWD,3.0,MHEV,,,,
123,AUDI,A5,Sport,cabriolet,TFSI,manual,2 door,FWD,,,,,,40
124,AUDI,A5,SPORT,coupe,TDI,manual,2 door,FWD,2.0,,,,110KW,
125,AUDI,A5,,SPORTBACK,TDI,manual,5 portes,FWD,,,,,,40
126,AUDI,A5,Business Advanced,hatchback,TDI,automatic,5 portes,FWD,,MHEV,,,,35
127,AUDI,A5,Business,hatchback,TFSI,manual,5 portes,FWD,,MHEV,,,,40
128,AUDI,A5,Vorsprung,cabriolet,TDI,manual,2 door,FWD,,,,190PS,,40
129,AUDI,A6,AVUS EXTEND,estate,TDI,automatic,5 portes,FWD,2.0,MHEV,,,,35
130,AUDI,A6,Black Edition,saloon,TDI,automatic,4 dr,FWD,,MHEV,,204 PS,,40
131,AUDI,A6,Black Ed,saloon,TFSI,manual,4 dr,AWD,,MHEV,,245 PS,,45
132,AUDI,A6,BLACK LINE,AVANT,TDI,automatic,5 portes,FWD,2.0,MHEV,,,,35
133,AUDI,A6,Black Line,saloon,TFSI,automatic,4 dr,AWD,,MHEV,,,,55
134,AUDI,A6,BUSINESS SPORT,saloon,TDI,automatic,4 dr,FWD,2.0,MHEV,,,,40
135,AUDI,A6,S LINE,saloon,TDI,automatic,4 dr,AWD,2.0,MHEV,,,,40
136,AUDI,A6,SPORT,AVANT,TDI,automatic,5 portes,AWD,3.0,MHEV,,,,50
137,AUDI,A6,sport,saloon,TFSI,automatic,4 dr,FWD,,MHEV,,,,45
138,AUDI,A6,VORSPRUNG,saloon,TDI,automatic,4 dr,AWD,3.0,MHEV,,,,50
139,AUDI,A6,VORSPRUNG,saloon,TFSI,manual,4 dr,AWD,2.0,MHEV,,,,45
140,AUDI,A7,,SPORTBACK,TDI,manual,5 portes,FWD,2.0,MHEV,,,,40
141,AUDI,A7,,SPORTBACK,TFSI,manual,5 portes,AWD,3.0,MHEV,,,,55
142,AUDI,A7,,Sportback,TFSI,manual,5 portes,AWD,,MHEV,,,,45
143,AUDI,A7,SPORT,SPORTBACK,TDI,manual,5 portes,FWD,2.0,MHEV,,,,40
144,AUDI,A7,S line,hatchback,TDI,automatic,5 portes,AWD,,MHEV,,231 PS,,45
145,AUDI,A8,Sport,saloon,TDI,automatic,4 dr,AWD,,MHEV,,,,50
146,AUDI,E-TRON,S LINE,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,95KWH,,,55
147,AUDI,Q2,,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,,
148,AUDI,Q2,BLACK LINE,sports utility vehicle,TDI,automatic,5 portes,FWD,2.0,,,,,30
149,AUDI,Q2,Business Line,sports utility vehicle,TFSI,automatic,5 portes,FWD,,,,,,35
150,AUDI,Q2,BUSINESS,sports utility vehicle,TDI,automatic,5 portes,FWD,2.0,,,,,35
151,AUDI,Q2,DESIGN,sports utility vehicle,TDI,manual,5 portes,FWD,1.6,,,,,30
152,AUDI,Q2,S Line Plus,sports utility vehicle,TDI,manual,5 portes,FWD,,,,150,,35
153,AUDI,Q2,S Line Plus,sports utility vehicle,TFSI,automatic,5 portes,AWD,,,,,,40
154,AUDI,Q2,sport,sports utility vehicle,TDI,manual,5 portes,FWD,,,,,,30
155,AUDI,Q2,SPORT,sports utility vehicle,TFSI,automatic,5 portes,FWD,1.5,,,,,35
156,AUDI,Q2,SPORT,sports utility vehicle,TFSI,manual,5 portes,FWD,1.5,,,,,
157,AUDI,Q3,,sports utility vehicle,TFSI,manual,5 portes,AWD,,,,,,40
158,AUDI,Q3,ADVANCED,sports utility vehicle,TFSI,manual,5 portes,AWD,2.0,,,,,45
159,AUDI,Q3,BLACK ED,sports utility vehicle,TFSI,automatic,5 portes,AWD,2.0,,,,,40
160,AUDI,Q3,Black line,sports utility vehicle,TDI,manual,5 portes,FWD,,,,150CV,110kW,35
161,AUDI,Q3,BUSINESS,sports utility vehicle,TFSI,manual,5 portes,FWD,1.5,,,,,35
162,AUDI,Q3,DESIGN,sports utility vehicle,TFSI,automatic,5 portes,AWD,2.0,,,,,40
163,AUDI,Q3,EDITION 1,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,,,40
164,AUDI,Q3,S LINE ED.,sports utility vehicle,TFSI,manual,5 portes,AWD,2.0,,,,,45
165,AUDI,Q3,S LINE,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,,,,,35
166,AUDI,Q3,S line,sports utility vehicle,TDI,automatic,5 portes,AWD,,,,190 PS,,40
167,AUDI,Q3,S LINE,sports utility vehicle,TFSI,automatic,5 portes,FWD,1.5,MHEV,,,,35
168,AUDI,Q3,Sport,sports utility vehicle,TFSI,manual,5 portes,AWD,,,,190 PS,,40
169,AUDI,Q3 SPORTBACK,RS Q3,sports utility vehicle,TFSI,manual,5 portes,AWD,2.5,,,,,
170,AUDI,Q3,Vorsprung,sports utility vehicle,TFSI,manual,5 portes,AWD,,,,190 PS,,40
171,AUDI,Q4 e-tron,Design Luxe,sports utility vehicle,Electrique,automatic,5 portes,AWD,,BEV,82 kWh,,,50
172,AUDI,Q5,,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,,,,,35
173,AUDI,Q5,,sports utility vehicle,TDI,manual,5 portes,AWD,,MHEV,,204CV,150kW,40
174,AUDI,Q5,,sports utility vehicle,TFSI e,manual,5 portes,AWD,,PHEV,,,,55
175,AUDI,Q5,,sports utility vehicle,TFSI,manual,5 portes,AWD,,MHEV,,245CV,180kW,45
176,AUDI,Q5,ADVANCED,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,MHEV,,,,35
177,AUDI,Q5,ADVANCED,sports utility vehicle,TDI,automatic,5 portes,AWD,3.0,,,,,50
178,AUDI,Q5,Advanced,sports utility vehicle,TDI,manual,5 portes,AWD,,,,,120kW,35
179,AUDI,Q5,Business Design,sports utility vehicle,TDI,automatic,5 portes,AWD,,,,,,45
180,AUDI,Q5,Business Sport,sports utility vehicle,TFSI,manual,5 portes,AWD,,MHEV,,,,45
181,AUDI,Q5,BUSINESS,sports utility vehicle,TDI,automatic,5 portes,AWD,3.0,MHEV,,,,50
182,AUDI,Q5,design,sports utility vehicle,TDI,manual,5 portes,AWD,,,,,,40
183,AUDI,Q5,IDENTITY BLACK,sports utility vehicle,TDI,automatic,5 portes,AWD,3.0,MHEV,,,,50
184,AUDI,Q5,S LINE,sports utility vehicle,TDI,automatic,5 portes,AWD,2.0,MHEV,,,,35
185,AUDI,Q5,SPORT,sports utility vehicle,TDI,manual,5 portes,FWD,2.0,MHEV,,,,30
186,AUDI,Q5,sport,sports utility vehicle,TDI,manual,5 portes,FWD,,MHEV,,,,35
187,AUDI,Q7,S LINE,sports utility vehicle,TDI,automatic,5 portes,AWD,3.0,MHEV,,,,50
188,AUDI,Q8 E-TRON,S LINE,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,114KWH,,,55
189,AUDI,R8,EDITION,COUPE,FSI,automatic,2 door,AWD,5.2,,,,,
190,AUDI,S6,,estate,TDI,automatic,5 portes,AWD,3.0,MHEV,,,,
191,AUDI,TT,,ROADSTER,TFSI,automatic,2 door,FWD,2.0,,,,,40
192,AUDI,TT,S LINE,cabriolet,TFSI,automatic,2 door,AWD,2.0,,,,,45
193,AUDI,TT,S line,coupe,TFSI,automatic,3 doors,FWD,,,,245PS,,45
194,AUDI,TT,Sport,cabriolet,TFSI,automatic,2 door,FWD,,,,197PS,,40
195,,Aygo,JBL Edition,,,,5dr,,,,,,,
196,Audi,A1,Business,Sportback,TFSI,6-marce,,,,,,,,30
197,Audi,A3,Basis,Limousine,TDI,S tronic,,,,,,,,30
198,Audi,A3,advanced,Limousine,TDI,,,,,,,,,35
199,Audi,A4,Business,Avant,TFSI,S tronic,,,,,,,,35
200,Audi,A4,Business,,TFSI,S tronic,,quattro,,,,,,40
201,Audi,A4,Business Advanced,,TDI,tiptronic,,quattro,,,,,,50
202,Audi,A4,S line,Limousine,TDI,S tronic,,,,,,,,35
203,Audi,A4,S line,Limousine,TDI,tiptronic,,quattro,,,,,,50
204,Audi,A4,S line edition,,TDI,S tronic,,,,,,,,35
205,Audi,A4 allroad quattro,Business,,TDI,tiptronic,,quattro,,,,,,50
206,Audi,A5,advanced,Coupé,TDI,S tronic,,,,,,,,40
207,Audi,A5,advanced,Coupé,TDI,tiptronic,,quattro,,,,,,50
208,Audi,A5,S line,Sportback,TFSI,S tronic,,quattro,,,,,,40
209,Audi,A6,Business Design,Avant,TFSI,S tronic,,quattro,,,,,,55
210,Audi,A6,Business plus,,TFSI,S tronic,,,,,,,,45
211,Audi,Q2,Business Line,,TDI,S tronic,,,,,,,,30
212,Audi,Q2,S line,,TFSI,Schaltgetriebe,,,,,,,,30
213,Audi,Q3,,,TDI,S tronic,,quattro,,,,,,35
214,BENTLEY,BENTAYGA,AZURE,sports utility vehicle,premium unleaded,automatic,5 portes,AWD,4.0,,,,,
215,BENTLEY,MULSANNE,,saloon,premium unleaded,automatic,4 dr,RWD,6.8,,,,,
216,,BERLINGO,,,,,,,,,,,,
217,BMW,1 Series,M Sport Shadow Edition,hatchback,diesel,automatic,5 portes,RWD,,,,,,125d
218,BMW,2 Series,Sport,coupe,diesel,manual,2 door,RWD,,,,,,220d
219,BMW,2er-Reihe,Sport Line,Cabrio,unleaded,automatic,2 door,RWD,,,,,,230i
220,BMW,3 Series,M Sport Plus ED,Touring,diesel,automatic,5 portes,AWD,,,,,,320d
221,BMW,3 Series,M Sport,saloon,diesel,manual,4 dr,RWD,,,,,,318d
222,BMW,3 Series,SE,saloon,diesel,automatic,4 dr,AWD,,,,,,320d
223,BMW,3 Series,Sport,saloon,diesel,manual,4 dr,RWD,,,,,,318d
224,BMW,3er-Reihe,,saloon,unleaded,automatic,4 dr,AWD,,,,,,M340i
225,BMW,4 Series,M Sport,coupe,diesel,manual,2 door,RWD,,,,,,420d
226,BMW,4 Series,M Sport,coupe,diesel,automatic,2 door,AWD,,,,,,430d
227,BMW,4 Series,Sport,coupe,diesel,manual,2 door,RWD,,,,,,420d
228,BMW,4er-Reihe,Luxury Line,Cabrio,diesel,manual,2 door,RWD,,,,,,420d
229,BMW,4er-Reihe,M Sport,hatchback,unleaded,manual,5 portes,RWD,,,,,,420i
230,BMW,5 Series,M Sport,saloon,diesel,automatic,4 dr,RWD,,,,,,530d
231,BMW,5 Series,M5 Competition,saloon,premium unleaded,automatic,4 dr,AWD,,,,,,
232,BMW,7 Series,,saloon,unleaded,automatic,4 dr,RWD,,,,,,740i
233,BMW,7 Series,Exclusive,saloon,diesel,automatic,4 dr,RWD,,,,,,725Ld
234,BMW,7 Series,Exclusive,saloon,diesel,automatic,4 dr,AWD,,,,,,730d
235,BMW,7 Series,M Sport,saloon,unleaded,automatic,4 dr,RWD,,,,,,740i
236,BMW,8er-Reihe,,Cabrio,unleaded,automatic,2 door,AWD,,,,,,840i
237,BMW,i4,M Sport,,,,,,,,,340 ch,,eDrive40
238,BMW,IX,,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,112KWH,,,
239,BMW,IX3,Premier Edition,sports utility vehicle,electric,automatic,5 portes,RWD,,BEV,80kWh,,,
240,BMW,SERIES 1,ADVANTAGE,hatchback,diesel,manual,3 doors,RWD,2.0,,,,,118D
241,BMW,SERIES 1,ADVANTAGE,hatchback,diesel,automatic,5 portes,AWD,2.0,,,,,120D
242,BMW,SERIES 1,ADVANTAGE,hatchback,unleaded,manual,3 doors,RWD,1.5,,,,,116I
243,BMW,SERIES 1,BUSINESS,hatchback,diesel,automatic,5 portes,FWD,1.5,,,,,116D
244,BMW,SERIES 1,EDITION M SPORT SHADOW,hatchback,diesel,manual,3 doors,AWD,2.0,,,,,118D
245,BMW,SERIES 1,EDITION SPORT,hatchback,diesel,manual,5 portes,FWD,1.5,,,,,116D
246,BMW,SERIES 1,M PERFORMANCE,hatchback,unleaded,automatic,5 portes,RWD,3.0,,,,,140I
247,BMW,SERIES 1,M SPORT ULTIMATE,hatchback,diesel,automatic,5 portes,RWD,2.0,,,,,120D
248,BMW,SERIES 1,M SPORT,hatchback,diesel,manual,5 portes,RWD,2.0,,,,,118D
249,BMW,SERIES 1,M SPORT,hatchback,unleaded,automatic,5 portes,RWD,2.0,,,,,120I
250,BMW,SERIES 1,M,hatchback,unleaded,automatic,5 portes,AWD,2.0,,,,,M135I
251,BMW,SERIES 1,SPORT LINE,hatchback,unleaded,manual,5 portes,RWD,1.5,,,,,116I
252,BMW,SERIES 1,URBAN,hatchback,diesel,automatic,3 doors,AWD,2.0,,,,,120D
253,BMW,SERIES 2,,cabriolet,diesel,manual,2 door,RWD,2.0,,,,,218D
254,BMW,SERIES 2,,saloon,unleaded,automatic,4 dr,AWD,2.0,,,,,M235I
255,BMW,SERIES 2 ACTIVE TOURER,SPORT,mini MPV,unleaded,manual,5 portes,FWD,1.5,,,,,218I
256,BMW,SERIES 2,LUXURY,cabriolet,diesel,automatic,2 door,RWD,2.0,,,,,218D
257,BMW,SERIES 2,LUXURY,cabriolet,unleaded,manual,2 door,RWD,1.5,,,,,218I
258,BMW,SERIES 2,M SPORT,coupe,diesel,manual,2 door,RWD,2.0,,,,,220D
259,BMW,SERIES 2,M SPORT,coupe,diesel,automatic,2 door,RWD,2.0,MHEV,,,,220D
260,BMW,SERIES 2,M2 COMPETITION,coupe,premium unleaded,manual,2 door,RWD,3.0,,,,,
261,BMW,SERIES 2,SPORT,cabriolet,diesel,automatic,2 door,RWD,2.0,,,,,218D
262,BMW,SERIES 3,,saloon,unleaded,manual,4 dr,RWD,2.0,,,,,320I
263,BMW,SERIES 3,BUS.ADV,TOURING,diesel,automatic,5 portes,AWD,2.0,,,,,320D
264,BMW,SERIES 3,LOUNGE,saloon,diesel,automatic,4 dr,RWD,2.0,MHEV,,,,318D
265,BMW,SERIES 3,LUXURY LINE PURITY,saloon,unleaded,manual,4 dr,RWD,2.0,,,,,320I
266,BMW,SERIES 3,M SPORT PRO EDITION,saloon,diesel,manual,4 dr,RWD,2.0,MHEV,,,,320D
267,BMW,SERIES 3,M SPORT,TOURING,unleaded,automatic,5 portes,RWD,3.0,,,,,340I
268,BMW,SERIES 3,M SPORT,saloon,diesel,automatic,4 dr,AWD,3.0,,,,,330D
269,BMW,SERIES 3,SE PRO,saloon,unleaded,automatic,4 dr,AWD,2.0,,,,,320I
270,BMW,SERIES 3,SE,saloon,electric,automatic,4 dr,AWD,2.0,PHEV,,,,330E
271,BMW,SERIES 3,SPORT LINE,saloon,unleaded,manual,4 dr,RWD,1.5,,,,,318I
272,BMW,SERIES 3,SPORT,saloon,diesel,manual,4 dr,RWD,2.0,MHEV,,,,320D
273,BMW,SERIES 3,SPORT,saloon,unleaded,automatic,4 dr,RWD,2.0,,,,,320I
274,BMW,SERIES 4,,coupe,diesel,automatic,2 door,AWD,3.0,MHEV,,,,M440D
275,BMW,SERIES 4,ADVANTAGE,hatchback,diesel,manual,5 portes,RWD,2.0,,,,,420D
276,BMW,SERIES 4,LUXURY,cabriolet,unleaded,automatic,2 door,AWD,3.0,,,,,440I
277,BMW,SERIES 4,M SPORT,cabriolet,diesel,automatic,2 door,RWD,2.0,MHEV,,,,420D
278,BMW,SERIES 4,M SPORT,cabriolet,diesel,manual,2 door,RWD,2.0,,,,,420D
279,BMW,SERIES 4,M SPORT,coupe,diesel,manual,2 door,RWD,2.0,,,,,420D
280,BMW,SERIES 4,M SPORT,coupe,diesel,automatic,2 door,AWD,2.0,MHEV,,,,420D
281,BMW,SERIES 4,M SPORT,coupe,diesel,automatic,2 door,RWD,3.0,,,,,430D
282,BMW,SERIES 4,MSPORT,coupe,diesel,manual,2 door,RWD,2.0,,,,,420D
283,BMW,SERIES 4,SPORT,cabriolet,diesel,automatic,2 door,RWD,2.0,MHEV,,,,420D
284,BMW,SERIES 4,SPORT,coupe,diesel,automatic,2 door,AWD,3.0,,,,,435D
285,BMW,SERIES 5,,saloon,diesel,automatic,4 dr,RWD,3.0,,,,,530D
